,customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
1013,YH86390,California,No,Basic,Bachelor,2011-01-16,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize
1014,BH68769,Oregon,No,Extended,Bachelor,2011-02-06,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Small
1015,BB10681,California,No,Extended,College,2011-01-17,Unemployed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Medsize
1016,AL35726,Oregon,Yes,Extended,College,2011-02-26,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large
1017,YI79084,Nevada,No,Extended,Doctor,2011-01-17,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize
1018,TZ22914,Oregon,No,Basic,Master,2011-01-14,Disabled,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Large
1019,LM50087,Arizona,No,Basic,College,2011-02-28,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer3,Agent,Two-Door Car,Medsize
1020,HR10526,California,No,Basic,Master,2011-01-25,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
1021,OB32861,Nevada,No,Extended,High School or Below,2011-01-21,Unemployed,M,Suburban,Married,Special Auto,Special L2,Offer4,Web,Two-Door Car,Medsize
1022,YP67379,Arizona,No,Extended,High School or Below,2011-02-04,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
1023,UV64489,Arizona,No,Basic,Bachelor,2011-02-14,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize
1024,AP34711,Arizona,No,Extended,Master,2011-02-19,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Large
1025,AK61491,Oregon,Yes,Basic,Doctor,2011-01-29,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large
1026,MY37953,Arizona,No,Basic,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer3,Web,Sports Car,Medsize
1027,QV48556,Arizona,No,Basic,Master,2011-01-05,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
1028,DV85764,California,No,Extended,High School or Below,2011-01-04,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
1029,UE13511,Oregon,No,Basic,High School or Below,2011-01-02,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Small
1030,WN13947,Oregon,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Small
1031,PR80703,California,No,Basic,Bachelor,2011-02-09,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
1032,OH91173,California,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
1033,TK32843,California,No,Premium,Bachelor,2011-02-13,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
1034,WA45944,Arizona,Yes,Extended,College,2011-02-13,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,Luxury Car,Small
1035,PD32052,California,No,Basic,High School or Below,2011-01-19,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
1036,XP61034,Oregon,No,Basic,Bachelor,2011-02-26,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
1037,ZZ35218,Oregon,No,Basic,Doctor,2011-01-28,Unemployed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Two-Door Car,Medsize
1038,US45383,California,Yes,Premium,College,2011-01-01,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize
1039,XC85830,Oregon,Yes,Premium,Bachelor,2011-01-28,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Two-Door Car,Medsize
1040,WR63188,Arizona,No,Basic,College,2011-01-16,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
1041,EV68375,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
1042,JF45126,Nevada,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,SUV,Medsize
1043,IV35546,Nevada,No,Basic,Master,2011-02-08,Employed,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize
1044,IG62421,Nevada,Yes,Extended,Doctor,2011-02-18,Employed,M,Rural,Divorced,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
1045,JX93039,Washington,No,Extended,College,2011-02-14,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Call Center,SUV,Medsize
1046,EH24828,Nevada,No,Basic,College,2011-01-11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
1047,CI68869,Arizona,No,Basic,College,2011-01-08,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Small
1048,TS11219,California,No,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize
1049,QJ49871,Oregon,No,Basic,College,2011-01-21,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Call Center,SUV,Medsize
1050,CY49953,Oregon,No,Extended,College,2011-02-18,Unemployed,F,Suburban,Single,Special Auto,Special L2,Offer3,Branch,Four-Door Car,Medsize
1051,LI10567,Oregon,No,Premium,High School or Below,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Branch,Sports Car,Medsize
1052,PK28821,California,No,Basic,College,2011-01-28,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
1053,HG60406,California,No,Extended,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer3,Call Center,Four-Door Car,Medsize
1054,PX99904,California,No,Extended,Bachelor,2011-02-06,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer2,Branch,Sports Car,Small
1055,FZ55002,Nevada,No,Basic,Doctor,2011-02-14,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small
1056,LM12349,Washington,No,Premium,Bachelor,2011-01-19,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize
1057,TV34024,Oregon,No,Basic,High School or Below,2011-01-17,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Large
1058,TE82896,Oregon,No,Basic,High School or Below,2011-02-19,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize
1059,YX72707,Oregon,No,Basic,Doctor,2011-01-19,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
1060,KU92052,California,No,Basic,High School or Below,2011-02-19,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
1061,VU79621,Oregon,No,Basic,Master,2011-01-01,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Branch,Sports Car,Large
1062,NZ57264,California,No,Basic,Bachelor,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,SUV,Medsize
1063,ED89934,California,No,Extended,College,2011-01-31,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
1064,ED63600,California,No,Extended,College,2011-02-25,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Agent,Luxury Car,Medsize
1065,JC93010,California,Yes,Basic,Bachelor,2011-01-26,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize
1066,PC27174,Oregon,No,Premium,College,2011-02-23,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize
1067,XR75319,Arizona,No,Basic,College,2011-01-02,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Large
1068,RN55306,Oregon,No,Basic,High School or Below,2011-01-10,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
1069,JQ91314,Washington,No,Extended,College,2011-02-10,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
1070,UZ14076,California,No,Premium,High School or Below,2011-02-16,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,Luxury SUV,Large
1071,RU39880,California,No,Basic,Bachelor,2011-01-10,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize
1072,MS88882,California,No,Extended,College,2011-01-11,Disabled,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize
1073,PU78245,Arizona,No,Basic,Bachelor,2011-01-16,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Large
1074,JZ90556,Oregon,No,Basic,High School or Below,2011-01-07,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Agent,Four-Door Car,Medsize
1075,SJ29837,Washington,No,Basic,High School or Below,2011-02-24,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,SUV,Small
1076,VK94891,Nevada,No,Basic,High School or Below,2011-01-23,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize
1077,HL63895,Arizona,No,Basic,Master,2011-01-18,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
1078,XO11574,California,No,Extended,High School or Below,2011-02-11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
1079,PV62467,California,No,Basic,College,2011-01-27,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
1080,UO86707,Washington,No,Basic,Bachelor,2011-02-15,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize
1081,CK85904,California,Yes,Basic,High School or Below,2011-02-23,Disabled,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,SUV,Small
1082,CX20455,Arizona,Yes,Basic,College,2011-01-30,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Medsize
1083,ZM52280,Arizona,No,Basic,Bachelor,2011-02-02,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Luxury SUV,Large
1084,VA95387,Nevada,No,Basic,High School or Below,2011-02-03,Employed,M,Rural,Married,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize
1085,ZS35830,Oregon,No,Basic,College,2011-01-01,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
1086,RX19151,Washington,No,Basic,Bachelor,2011-02-28,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer2,Agent,SUV,Medsize
1087,CX99919,Nevada,No,Basic,College,2011-02-06,Retired,F,Suburban,Single,Corporate Auto,Corporate L3,Offer3,Branch,SUV,Medsize
1088,JX80723,California,No,Extended,College,2011-02-04,Employed,M,Rural,Divorced,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
1089,HO81102,Washington,No,Basic,High School or Below,2011-02-14,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
1090,FD72269,California,No,Basic,High School or Below,2011-02-03,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large
1091,IX35050,Arizona,Yes,Basic,Bachelor,2011-01-31,Employed,M,Rural,Married,Special Auto,Special L3,Offer3,Agent,Four-Door Car,Medsize
1092,ZE82255,California,No,Basic,College,2011-01-15,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large
1093,AB62982,Oregon,No,Basic,Doctor,2011-02-04,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Two-Door Car,Small
1094,GB94407,California,Yes,Premium,College,2011-01-01,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Medsize
1095,MN81810,California,No,Basic,High School or Below,2011-01-13,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Small
1096,IW78492,Arizona,No,Basic,College,2011-01-14,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Sports Car,Medsize
1097,VE98553,Oregon,No,Premium,Bachelor,2011-02-28,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large
1098,JY67916,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small
1099,CD45044,Arizona,No,Basic,High School or Below,2011-02-03,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
1100,WW52683,California,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
1101,FQ46354,California,No,Extended,Bachelor,2011-02-04,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Four-Door Car,Medsize
1102,QS23134,Arizona,No,Premium,College,2011-01-22,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize
1103,PR22184,California,No,Basic,College,2011-01-13,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Branch,Sports Car,Medsize
1104,VD19899,California,No,Premium,Doctor,2011-02-28,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
1105,CH97666,California,No,Basic,Bachelor,2011-01-14,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Web,Sports Car,Medsize
1106,NE70589,California,No,Basic,College,2011-01-20,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize
1107,RW61528,Nevada,No,Premium,College,2011-01-02,Employed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer1,Web,Four-Door Car,Medsize
1108,WD84153,California,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize
1109,LC12930,California,No,Basic,Master,2011-01-11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
1110,IC32996,Oregon,No,Basic,High School or Below,2011-02-09,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Two-Door Car,Medsize
1111,FY51713,Arizona,No,Extended,Bachelor,2011-01-07,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small
1112,ER50891,California,No,Extended,High School or Below,2011-01-07,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize
1113,BV57364,Arizona,Yes,Basic,College,2011-02-05,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize
1114,EQ96084,California,No,Extended,Bachelor,2011-01-15,Employed,F,Rural,Divorced,Corporate Auto,Corporate L3,Offer4,Web,Four-Door Car,Medsize
1115,MD33155,California,Yes,Basic,College,2011-02-09,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Medsize
1116,SM14243,Washington,No,Basic,High School or Below,2011-02-26,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
1117,WK23685,Oregon,No,Extended,Bachelor,2011-01-06,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize
1118,YK92080,California,No,Extended,College,2011-02-01,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
1119,KA58700,Nevada,No,Extended,College,2011-01-03,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
1120,ET79528,California,No,Extended,College,2011-01-10,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
1121,WI58274,Oregon,No,Basic,College,2011-01-23,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Sports Car,Medsize
1122,TT68630,California,No,Extended,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Call Center,Two-Door Car,Medsize
1123,DW88734,California,No,Basic,Bachelor,2011-01-12,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Two-Door Car,Small
1124,DO93657,California,No,Extended,Master,2011-01-09,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize
1125,PN18507,Arizona,No,Premium,Bachelor,2011-01-06,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize
1126,HC42288,California,No,Basic,College,2011-02-10,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Small
1127,HE60335,Washington,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Small
1128,CA56041,Nevada,No,Basic,College,2011-02-16,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small
1129,DZ85842,California,No,Basic,High School or Below,2011-02-27,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
1130,HN57556,California,No,Basic,High School or Below,2011-02-17,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
1131,ZL18631,Arizona,No,Basic,College,2011-02-05,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
1132,MQ46375,Oregon,No,Basic,Bachelor,2011-01-02,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Branch,Luxury Car,Medsize
1133,RT29777,Oregon,No,Basic,Bachelor,2011-02-12,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer1,Branch,SUV,Small
1134,UL80763,Oregon,Yes,Extended,Doctor,2011-01-08,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
1135,ZB72138,Oregon,No,Basic,Bachelor,2011-01-03,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,SUV,Medsize
1136,CS84396,Arizona,No,Basic,Bachelor,2011-01-25,Employed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Small
1137,VK94354,Oregon,No,Extended,Master,2011-01-08,Unemployed,M,Rural,Married,Special Auto,Special L2,Offer1,Call Center,SUV,Small
1138,JZ22920,Arizona,No,Extended,Master,2011-01-30,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
1139,TU27017,California,No,Extended,Bachelor,2011-02-14,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize
1140,RV14138,Nevada,Yes,Extended,Bachelor,2011-02-27,Retired,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
1141,OO35641,Oregon,No,Basic,College,2011-02-05,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer3,Agent,SUV,Medsize
1142,WA63124,Nevada,No,Basic,College,2011-02-25,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer3,Call Center,Four-Door Car,Small
1143,HQ76003,Nevada,No,Basic,High School or Below,2011-01-04,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Sports Car,Medsize
1144,TM61357,Nevada,No,Extended,Bachelor,2011-02-15,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize
1145,SR71812,California,No,Extended,High School or Below,2011-01-27,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
1146,QA32784,Oregon,No,Extended,Bachelor,2011-02-26,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Sports Car,Medsize
1147,PP26786,Arizona,No,Basic,College,2011-01-10,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize
1148,AS17174,Oregon,Yes,Basic,High School or Below,2011-01-15,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize
1149,WG26617,Oregon,No,Extended,Bachelor,2011-02-28,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Web,Two-Door Car,Medsize
1150,WV53081,Arizona,No,Basic,College,2011-02-14,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Agent,Four-Door Car,Medsize
1151,GT65478,Oregon,No,Basic,College,2011-01-19,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
1152,WN14473,Arizona,No,Basic,Master,2011-02-17,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
1153,YK65946,Oregon,Yes,Extended,Bachelor,2011-02-10,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Luxury SUV,Medsize
1154,LN50415,Oregon,No,Extended,Bachelor,2011-02-23,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Web,SUV,Medsize
1155,DL14445,California,No,Extended,College,2011-02-21,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Small
1156,CA52541,California,Yes,Extended,College,2011-01-28,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Two-Door Car,Small
1157,GD93408,California,No,Basic,Bachelor,2011-02-26,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Medsize
1158,EZ20115,California,No,Basic,Bachelor,2011-02-09,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
1159,WZ31900,Oregon,No,Basic,Bachelor,2011-01-11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer2,Call Center,SUV,Medsize
1160,WY26014,California,No,Extended,High School or Below,2011-01-19,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
1161,ZH35315,California,No,Basic,College,2011-02-19,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large
1162,IW17510,California,No,Basic,High School or Below,2011-02-03,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Sports Car,Medsize
1163,YN10988,California,No,Extended,High School or Below,2011-01-02,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize
1164,TF23305,Arizona,No,Extended,College,2011-01-29,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,Two-Door Car,Large
1165,IR29181,California,No,Premium,High School or Below,2011-02-14,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Small
1166,UK59933,California,No,Basic,College,2011-01-21,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
1167,ZH28312,California,No,Basic,Bachelor,2011-02-14,Unemployed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Medsize
1168,TN17395,California,Yes,Basic,College,2011-01-30,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
1169,VZ66567,California,No,Basic,Bachelor,2011-01-27,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,SUV,Large
1170,BM70908,Arizona,No,Basic,College,2011-01-26,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
1171,TA89713,Oregon,Yes,Extended,College,2011-01-07,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
1172,NM18924,Oregon,No,Basic,High School or Below,2011-02-14,Disabled,F,Rural,Divorced,Corporate Auto,Corporate L3,Offer1,Call Center,Sports Car,Medsize
1173,MO65595,Nevada,No,Extended,Bachelor,2011-02-10,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize
1174,FP11025,California,No,Basic,Bachelor,2011-01-10,Employed,F,Urban,Married,Special Auto,Special L3,Offer3,Branch,SUV,Large
1175,NT89061,Arizona,No,Extended,High School or Below,2011-01-07,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
1176,SY22123,California,No,Extended,College,2011-01-05,Medical Leave,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
1177,ET64028,California,No,Extended,High School or Below,2011-01-18,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Large
1178,RV98208,Arizona,No,Basic,College,2011-01-29,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Two-Door Car,Medsize
1179,ET39822,California,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Medsize
1180,BX20227,Oregon,Yes,Extended,College,2011-01-09,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
1181,WN91223,California,No,Extended,Master,2011-01-02,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
1182,ZV43350,California,No,Premium,Bachelor,2011-02-11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
1183,TD10493,Oregon,No,Extended,High School or Below,2011-01-26,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize
1184,WL45773,California,No,Basic,Doctor,2011-01-02,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Medsize
1185,NI78185,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize
1186,BE54454,Washington,No,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Small
1187,IS73434,Arizona,No,Extended,Bachelor,2011-02-26,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Four-Door Car,Medsize
1188,JZ23377,Oregon,No,Premium,College,2011-01-20,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize
1189,DA34555,California,No,Extended,College,2011-02-20,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize
1190,YX15941,Oregon,No,Extended,College,2011-02-12,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Sports Car,Medsize
